evaluation,label
很垃圾，买了两台电视，账号不能通用，如果送的会员到期，到时候还要买两个会员，一个会员只能用一台电视。我靠。屏幕偏暗。后悔中。。。。,负面
居然没有发票？！京东太让人失望了，电视刚开始用，有些功能还没试，用过再评价。遥控器非常好用，操作和手机类似，很简单，家里老人也很快上手。,负面
垃圾电视。整天死机的。,负面
垃圾中的战斗机，新机到手，通电后，闪一下就开不了机了,负面
买个了5000块的的电视，结果因为客服问题。电视到了几天放等个挂架。你挂架和电视分开送就算了，明明是下单就可以登记发货挂架的。结果跟我说收到货才登记。就算收货登记也就算了，发货还要7个工作日。这是什么概念？起码12天。垃圾的微鲸，再也不买你们产品了,负面
强烈差评，这么明显的亮度不均，发白，加色差，竟然说是正常现象，我倒问一下眼睛正常不。,负面
送货很快，但是没有送支架，说是评论后送支架，所以无法评价质量。“6.17号22点2998限量秒杀500台！送89元原装挂架！评论晒单再送价值199元智能手环”---从活动的表述上看，应该支架与评价无关。我不理解，商家要这样的评价有何用处？要看有内涵的评价只能等以后再说了。,负面
"显示效果还行，操作系统略卡。语音助手等于xujia宣传，因为需要你额外购买一个，在宣传页仔细看才能看到藏在里面很小的一行字""语音遥控器需要购买"" 不知道为啥今年电视机涨价这么多，去年买的微鲸4k 43寸才1298 今年一个1080p的都要1800",负面
一般般啦！都是涨价后买的！质量嘛就是中低档啦,负面
一星都不值，六一收货，六二开机（第三次开机）出现黑屏，拍照反应给京东，要求退货，京东安排厂家售后检测，检测师傅上门开机，翻翻菜单，记录sn码，就得出结论机器正常，对您没看错就这么简单，这就是故障检测。并且填写服务单是可以涂改的，用语还是要向上面人请示的，按实际填写好像还不行，这就是微鲸的售会。我直接拒签了这个服务单。把服务单发出来大家看看，京东售后也看看是不是与你们收的反馈一致，我这是复印第三联。顺便把故障照片也发一下大家也看看。发这个评论时是六月十二日晚八点了。至今我还在等着结果。但愿我这是个例，算我倒霉，说这么多供大家参考吧。,负面
这个电视到货后非常满意：1.屏幕为京东方三色硬屏，效果相当出众，2.声音效果比一般三千机器的好一些，3.系统响应速度快，两G运存不错，4.蓝牙语音遥控方便操作，5.屏占比算比较好的了。不足是不标配挂架，愿微鲸越来越好!,负面
只想给差评,负面
最差劲的一次购物，半颗星都不想给，电视无法领取会员客服都无法解决，让打技术支持电话，打电话给技术支持，态度不错，告诉我也没办法解决，要下班了，第二天再找相关人员解决。电话过程中，旁边其他客服聊天声音特别大。 特别是京东回复客服，完全没有替客户解决问题的态度，微鲸客服严重需要培训啊。太失望了，本来抱很大希望的。这台机器肯定是退货后从新包装了又直接发过来的。账号已经被领取过了。,负面
我家沙发到电视机墙距离是6米多，65寸的真是大，太棒了，今天正好在家看NBA总决赛，爽啊，再配个音箱就更棒了，就是感觉声音有点小。,负面
电视还行，买了后有点小问题，客服叫了维修的来解决了。然而价格没几天就降价这个感觉有欺骗性。之前买的时候还问了有没有优惠，有没有其他活动，告诉已经最大力度了，已经优惠了等等，看了两天准备来评价，一看又有活动，价格更便宜了。这才一个多星期，感觉是活动天天有，价格总在变,负面
既然购买了，就安心用吧，感觉一般，电视无线会时不时的掉线，要重启！不是太好用！清晰度还行。,负面
开机慢，喇叭声音效果一般，买了两天就降价，还好补了差价。,负面
开机要很久 色彩很差 慎重,负面
送货速度很快，很漂亮，就是开机有点慢的样子,负面
听同事的推荐买了微鲸电视，他半年前买的另一款42吋的，但现在涨价1000，我就买了便宜的这一款，比他的42吋的还要贵。 便宜，画面不错，送会员，不过感觉资源不够新。。京东的快递真是让人惊叹，次日达不错。 不用额外的机顶盒就能看网络电视。 需要吐槽的是1.支架好单薄啊，就细细的两根塑料，对照海信的支架，我比较担心。2.插座竟然是两相的，线非常细，好的，你开心就好。3.开机时间太长了，我洗个大苹果，吃完了，开机画面还在让我耐心等待。 才买了两天，我过段时间再来。,负面
性价比一般，开机巨慢，很厚，屏幕颗粒感明显，找不到关机健，好像没有。想买40寸的，一直说不支持在当地区销售，都一年还一样，非常不满意。家里两个微鲸的，对50寸的挺满意，这个32的真心不怎么样！建议40寸的，要是像我一样，不支持当地销售的就换别家电视，最后一张是50寸的,负面
这价位的话算32寸里不错的，塑料外壳有点低端，做工一般，屏幕显示效果也马马虎虎，没有物理开机键，通电后自动开机有点不人性化只能长时间待机，接口还算齐全，开机慢内存小装不了多少app，一般看看机顶盒也够用了,负面
最垃圾的电视，无线网络经常链接不上，我家网络完全正常，其他电视或者手机电脑的wifi无线链接一直正常，售后垃圾，安装师傅软件安装一半承诺第二天来继续安装，之后就没来了，客服售后的解决是 ：也没办法联系他们当地这些零零碎碎工程师,负面
比想象中的小一号的。画质确实不怎么样 到底便宜些的就之前买的大的好象没法比,负面
不习惯给差评的我忍不住要评价这个电视，这个电视真的不咋滴，很卡（卡到你怀疑人生），而且连接无线网经常掉线！清晰度也跟不上，真心不推荐！,负面
电视颜色偏暗，手机上能看清楚的视频到电视上黑成不行，用了半个月死了两次机，整体外观勉强，前年买了一个tcl的金色的比这个好多了价格差不多，电视自己提供的如学堂tv、zaker新闻会卡机，应用更新不行，属于有了前期后期跟不上系列，但是遥控器很喜欢，按键声音也喜欢喇叭也够大，真的亮度很鸡肋,负面
还行，电视清晰度不太好，毕竟价位在那里，算是对得起这价钱吧,负面
觉得一般，画面清晰度不高。其他还是,负面
开机要很久 色彩很差 慎重,负面
老人表示色彩不好，而且系统有限制，下载软件只有那么几个,负面
买了很后悔，功能非常差。外接音响均衡器等都不行的。只能当老人机用。屏幕分辨率也粗糙不高，清晰度不够。本来买来唱歌当屏用的，结果用不上，后悔啊！,负面
买之前就看到很多评论说屏幕不行，但是价格便宜，性价比比较高，所以就买了这款。收到货后确实屏幕是不怎么样，屏幕很暗，不艳丽。陆壹捌前几天买的壹壹玖捌元，问了客服陆壹捌会不会有活动，说价了，而且保价三十天。到陆壹捌就又降了壹佰原，问客服价格保护，好多天了也没个音讯。京东客服确实不行，回复慢不说，还经常不回复你，不如猫天上的好，随时在线。,负面
屏幕拐角明显暗，图像不到边。工程师上门尽然说没问题！退货还要收100元的开箱费，帮别人买的，只有凑合看吧！垃圾！垃圾！,负面
性价比一般，开机巨慢，很厚，屏幕颗粒感明显，找不到关机健，好像没有。想买40寸的，一直说不支持在当地区销售，都一年还一样，非常不满意。家里两个微鲸的，对50寸的挺满意，这个32的真心不怎么样！建议40寸的，要是像我一样，不支持当地销售的就换别家电视，最后一张是50寸的,负面
电视的功能不错，就是太厚了,负面
"电视太厚了,比我另一个5年前的还厚,做工一般",负面
电视真厚啊，后面质感太次了，遥控器后盖怎么怪怪的，缺一个甲，怎么回事？都这样吗？系统没有乐视好。,负面
买了两款电视，55寸的表现出众，性能强劲，性价比很有诱惑力。这款32寸的就稍显不足，款式陈旧，性能一般，价钱没优势，略感遗憾。,负面
电视真厚啊，后面质感太次了，遥控器后盖怎么怪怪的，缺一个甲，怎么回事？都这样吗？系统没有乐视好。,负面
配件不齐全，没有墙壁挂架，无法安装，还要单独购买,负面
开机慢，喇叭声音效果一般，买了两天就降价，还好补了差价。,负面
一分都不想给，京东这次让我太失望了，买的电视没有声音，说是退货上门取件，规定好的时间不去，一直拖着，联系客服，客服也不回应，千万不要相信京东自营，说的特别好，做起事来，你就知道了，这次真是太失望了！,负面
听同事的推荐买了微鲸电视，他半年前买的另一款42吋的，但现在涨价1000，我就买了便宜的这一款，比他的42吋的还要贵。 便宜，画面不错，送会员，不过感觉资源不够新。。京东的快递真是让人惊叹，次日达不错。 不用额外的机顶盒就能看网络电视。 需要吐槽的是1.支架好单薄啊，就细细的两根塑料，对照海信的支架，我比较担心。2.插座竟然是两相的，线非常细，好的，你开心就好。3.开机时间太长了，我洗个大苹果，吃完了，开机画面还在让我耐心等待。 才买了两天，我过段时间再来。,负面
硬件一般，但是软件很棒，,负面
这价位的话算32寸里不错的，塑料外壳有点低端，做工一般，屏幕显示效果也马马虎虎，没有物理开机键，通电后自动开机有点不人性化只能长时间待机，接口还算齐全，开机慢内存小装不了多少app，一般看看机顶盒也够用了,负面
材质不好塑料感明显，电视分量很轻，厚度比我5年的索尼还厚，硬件参数还可以，内容资源不错,负面
电视很满意，安装差了一点，安装师傅只说会有划痕，没想到会这么严重，墙体颜色不太好补，对于有强迫症的老公来说，已经抓狂了，不过还是给个正常评价吧，希望电视能够不让人失望,负面
"电视太厚了,比我另一个5年前的还厚,做工一般",负面
非常差的产品，质量差的不能再差。刚刚买来一个月换第一次，结果换货换好几天，换来傍晚到货，看一会，出去玩了回来开不了机。服了,负面
价格便宜，色彩不错，就是有时候打开应用的时候会黑屏。。,负面
显示效果一般，没想象中的惊艳。电视材料用的也很廉价。,负面
新电视买回家不到十多天，底座支架因质量问题断裂，电视从桌子上摔坏，打售后电话，人员一直推脱不上门鉴定处理。现在只能给差评，就看微鲸公司处理的结果了。希望微鲸公司能直面问题，敢于担当，给出大家能接受的处理意见。,负面
性价比高，做工一般,负面
这价位的话算32寸里不错的，塑料外壳有点低端，做工一般，屏幕显示效果也马马虎虎，没有物理开机键，通电后自动开机有点不人性化只能长时间待机，接口还算齐全，开机慢内存小装不了多少app，一般看看机顶盒也够用了,负面
差评！！！6.8买1298.才过十天就降价200。有意思么，电气类就那么不值钱？？？,负面
价格一般，这个牌子的电视就是那样价格波动很大，好像现在还比合资的价格还高得离谱，支持国产的信念没有改变，下单了就不退了，合理价格一五久久左右就有市场了，现在这个价格就算了！！！,负面
京东购买永远也不知道最好价格是多少，自己感觉合适就行。虽然知道买贵了很不爽，但是品质还是有保证的！,负面
买了后居然降价，整整便宜150块,负面
买了两款电视，55寸的表现出众，性能强劲，性价比很有诱惑力。这款32寸的就稍显不足，款式陈旧，性能一般，价钱没优势，略感遗憾。,负面
听同事的推荐买了微鲸电视，他半年前买的另一款42吋的，但现在涨价1000，我就买了便宜的这一款，比他的42吋的还要贵。 便宜，画面不错，送会员，不过感觉资源不够新。。京东的快递真是让人惊叹，次日达不错。 不用额外的机顶盒就能看网络电视。 需要吐槽的是1.支架好单薄啊，就细细的两根塑料，对照海信的支架，我比较担心。2.插座竟然是两相的，线非常细，好的，你开心就好。3.开机时间太长了，我洗个大苹果，吃完了，开机画面还在让我耐心等待。 才买了两天，我过段时间再来。,负面
刚买就降价，郁闷！郁闷！郁闷！送货人员很敬业，赞一个。,负面
刚买就降价了,负面
刚买两天就降价，还说保价，结果还是不给退，无语，,负面
买了才五天就降价了，我还是预约抢购的等到了夜里十二点过后。那还要抢购什么?找客服根本没反应。直接不理你。,负面
电视颜色偏暗，手机上能看清楚的视频到电视上黑成不行，用了半个月死了两次机，整体外观勉强，前年买了一个tcl的金色的比这个好多了价格差不多，电视自己提供的如学堂tv、zaker新闻会卡机，应用更新不行，属于有了前期后期跟不上系列，但是遥控器很喜欢，按键声音也喜欢喇叭也够大，真的亮度很鸡肋,负面
老人表示色彩不好，而且系统有限制，下载软件只有那么几个,负面
网络电视沒有浏览器，手机安装应用功能不能连接。强迫用户安装机顶盒。客服态度不错。买了个气人的商品。望其它用户慎买。,负面
听同事的推荐买了微鲸电视，他半年前买的另一款42吋的，但现在涨价1000，我就买了便宜的这一款，比他的42吋的还要贵。 便宜，画面不错，送会员，不过感觉资源不够新。。京东的快递真是让人惊叹，次日达不错。 不用额外的机顶盒就能看网络电视。 需要吐槽的是1.支架好单薄啊，就细细的两根塑料，对照海信的支架，我比较担心。2.插座竟然是两相的，线非常细，好的，你开心就好。3.开机时间太长了，我洗个大苹果，吃完了，开机画面还在让我耐心等待。 才买了两天，我过段时间再来。,负面
电视真厚啊，后面质感太次了，遥控器后盖怎么怪怪的，缺一个甲，怎么回事？都这样吗？系统没有乐视好。,负面
电视也就一般没有说的那么神奇！客服妹妹态度不好半天没人应答！微鲸热线是没人接电话吗？打了半个小时没人接电话～！还好大的那台没买微鲸 不然会被气死～！物流人员态度也不是很好,负面
东西不错，送快递的不行，我自己拿上来的，过了好几天了，才评价，6，18估计还要便宜，算了不等了,负面
快递员服务不是很理想,负面
好慢得物流啊！相信现代得微鲸产品,负面
不好意思，才来评价，电视不错，就是选的小了点，应该选40的，现在看着很不错，就是挂架贵了点，169安装的还不能调节角度，有点小失望。,负面
电视很满意，安装差了一点，安装师傅只说会有划痕，没想到会这么严重，墙体颜色不太好补，对于有强迫症的老公来说，已经抓狂了，不过还是给个正常评价吧，希望电视能够不让人失望,负面
挂墙加价可以理解。过来装机还收100块。完全没有售后可言。买得窝气。,负面
垃圾产品，安装座装还要收费用，其他牌子都不用,负面
最垃圾的电视，无线网络经常链接不上，我家网络完全正常，其他电视或者手机电脑的wifi无线链接一直正常，售后垃圾，安装师傅软件安装一半承诺第二天来继续安装，之后就没来了，客服售后的解决是 ：也没办法联系他们当地这些零零碎碎工程师,负面
不习惯给差评的我忍不住要评价这个电视，这个电视真的不咋滴，很卡（卡到你怀疑人生），而且连接无线网经常掉线！清晰度也跟不上，真心不推荐！,负面
电视也就一般没有说的那么神奇！客服妹妹态度不好半天没人应答！微鲸热线是没人接电话吗？打了半个小时没人接电话～！还好大的那台没买微鲸 不然会被气死～！物流人员态度也不是很好,负面
电视质量不知道，反正没给我送货入户，客服也没人理,负面
买了才五天就降价了，我还是预约抢购的等到了夜里十二点过后。那还要抢购什么?找客服根本没反应。直接不理你。,负面
买之前就看到很多评论说屏幕不行，但是价格便宜，性价比比较高，所以就买了这款。收到货后确实屏幕是不怎么样，屏幕很暗，不艳丽。陆壹捌前几天买的壹壹玖捌元，问了客服陆壹捌会不会有活动，说价了，而且保价三十天。到陆壹捌就又降了壹佰原，问客服价格保护，好多天了也没个音讯。京东客服确实不行，回复慢不说，还经常不回复你，不如猫天上的好，随时在线。,负面
一般，差强人意，还弄了点不愉快，投诉了好久才解决,负面
屏幕拐角明显暗，图像不到边。工程师上门尽然说没问题！退货还要收100元的开箱费，帮别人买的，只有凑合看吧！垃圾！垃圾！,负面
一分都不想给，京东这次让我太失望了，买的电视没有声音，说是退货上门取件，规定好的时间不去，一直拖着，联系客服，客服也不回应，千万不要相信京东自营，说的特别好，做起事来，你就知道了，这次真是太失望了！,负面
新电视买回家不到十多天，底座支架因质量问题断裂，电视从桌子上摔坏，打售后电话，人员一直推脱不上门鉴定处理。现在只能给差评，就看微鲸公司处理的结果了。希望微鲸公司能直面问题，敢于担当，给出大家能接受的处理意见。,负面
一般般。这个价位也不会抱太多的期望。比某某TV还是好很多。,负面
