,evaluation,0
2428,开机慢。。。。。。。。。其他还好,正面
3220,整体还不错。就是开机有时侯比较慢。装挂架还要预约这点比较不满意,负面
1368,很漂亮哦！图像清晰,正面
2832,巨坑！上个月买的2800 现在跌到2700 还有满1000减50元 坑！电视机质量也不好，画面不清晰。本来想退货告知已经超7天 真是后悔死了！,负面
2213,电视不错 发货速度太慢，下单一个星期后才送货，资源一般,正面
4179,为了个摇控才晒的单，在官网店拿了好几十台电视了，记得我进手第一台电视时的客服都是抢着回答问题和服务的，可是还没到两年，好像微鲸的初心变了，每次和客服交流对话都是和像机器人一样死板。做为客服无法为客户带来好的体验，这是作为客服的悲哀。但是微鲸的电视质量还是有保证的，拿了那么多台电视机，就只是坏个了摇控，画质和色彩也还行。就是现在涨价涨的厉害。再一个是二代的电视的脚比一代的不方便。最后祝微鲸越来越好，成长的同时别忘了初心。,负面
2400,8号晚上下单.九号下午到货.相信京东.电视机是4k的好用.就是开机有点慢,负面
488,物流很快，飞利浦老牌子，配送人员很专业，安装很简单，,正面
3583,电视买了快一年，用着很爽！近期因遥控器故障，微鲸售后给换了个新遥控器，但还是配对失败。经工程师上门检查，估计是蓝牙接收出了问题。申请京东售后，换了台新的！不错！赞一个！下次换电视还是微鲸1,负面
310,买了送人的，大小很合适，送货很快，包装也不错的,正面
3560,电视收到了，去年买了55寸的，LG硬屏的，效果棒棒的，今年给父母买个43的，虽然不是4K的，但是总体还过得去。虽然我是米粉，但是电视微鲸比起小米，没有广告是一大特色，其次后面的接口微鲸在侧面比起小米在后背方便多了。但是微鲸现在参数配置也不标出来，比起去年不实在了希望改进，让客户能了解清楚好比较。总体这个价格送一年会员还是不错，比小米实在。希望送的手环早点寄出来。,负面
2300,质量也不知道怎么样还没用。总之物流超慢，且工作人员态度也差，客服态度一般，对整个购物过程很不满意。,正面
4236,一分都不想给，京东这次让我太失望了，买的电视没有声音，说是退货上门取件，规定好的时间不去，一直拖着，联系客服，客服也不回应，千万不要相信京东自营，说的特别好，做起事来，你就知道了，这次真是太失望了！,负面
568,客服态度好。电视还没有开始用，还不知道效果。用了再评价,正面
2161,本来不记得评价的，既然发信息要评价，那就说说吧！不高兴，买完就降价。画质还可以，内置网络盒子不怎么样，虽然送了会员，但内容不多，更新的慢。,负面
1835,物有所值吧，毕竟这价位，出来第一年就用小米产品到现在,正面
4043,东西很不错，但是，能否吐槽下微鲸为了省成本HDMI线也没有，电源线过短导致我只能走明线，但是总体来讲还是物有所值，好评，自己慢慢装应用玩吧，安装略贵，一台169，另外不管买几台，会员只送一年。,负面
2368,试看了一晚，视频资源很给力，但系统不太好，开机太慢，？,负面
4006,烦人，才买的就降价，然后现在618又降价，总体来说，产品还是不错的。,正面
2444,送货隔日到，日日就顺了！通电安装加钱一百人，开机时间有点长，视频切换转圆圈，不要说是网络，60电信网，系统还要加强，运行内存不高哦，够用，声音还可以，图像处理清楚。rnmmp.,负面
1965,对比了小米、乐视、海信，最终选择了微鲸。到货很快，京东配送人员服务也很好。55寸的放在客厅很合适，安装很简单，自己安装的，电视清晰度挺高的（当然前提是网速得好），音响效果挺不错的，晚上开的时候能看到漏光现象，可以直接连接无线，很方便，送了一年的会员可以看4K和蓝光，资源挺丰富的。最后，希望可以用的久一点吧,负面
90,果然超薄，也没有太多发热，双十二下单，除了送货时间久点，其他都不错,负面
2576,音效差了点，其它都非常满意，这个价位，值,负面
1080,质量不错，物美价廉！,正面
3400,东西不错，就是物流到货后安装人员服务差，网络设置、连接都不管。。。。最后是自己去请了个程序员来搞定！,正面
1918,感觉不错，性价比不错，功能挺多，就是遥控器没有九键，有点不开森,正面
3763,泉州 物流很快 总结以下几点： 1.包装很结实 55寸箱子特大 送货到家 快递员很迫不及待的开机查看后就让签字跑了 2.内容丰富 看了一下午 第一次重启会更新系统大概6分钟 之后重启再更新一次就好了 3.LG硬屏画质不错 而且看久了也不会觉得眼睛难受 4.系统很流畅 但是看动漫时觉得掉帧 可能是我动态视力比较好 也可能是优化不好的关系 期待下次更新能修复 5.网上说的漏光的 我自己试了试 暗环境下 黑色图片 背光调最亮 并没有看见漏光 是我人品好 6.机身比我想象的厚多了 看最后一张图 反正吧 唯一让我不喜欢的大概就是厚度还有动漫掉帧！！！品控质量还是不错的！ 独角鲸和南鲸豚 这两个是真的会去回答你问题的客服,负面
2753,电视屏幕很差，买了五台，五台都是电视屏幕不是漏光就是坏点要不就是屏幕有黑斑，第五台黑斑没第四台那么大就说电视正常范围之内的，什么态度,负面
3944,电视吧，掉价太快，系统强制升级，感觉有点上当，这样升级最多一年，估计同手机一样越来越卡最后没法用（有点像，官方在故意淘汰），大家电，可以不升级不，我不想，最多两年换电视机，,负面
330,挺好的，看的很清晰，给老人买的，大小也比较合适。就是安装的时候别再单收60元上门费就更好了。这钱收的让老头很不爽，不如揉在电视里。,负面
4215,性价比一般，开机巨慢，很厚，屏幕颗粒感明显，找不到关机健，好像没有。想买40寸的，一直说不支持在当地区销售，都一年还一样，非常不满意。家里两个微鲸的，对50寸的挺满意，这个32的真心不怎么样！建议40寸的，要是像我一样，不支持当地销售的就换别家电视，最后一张是50寸的,负面
2277,电视只能算一般般，没有什么突出的亮点，机身还有4.73G空间，1.5G的运存，开机就70%以上，乌龙配置，2700多的55寸能有这种功能就不错了！屏幕说是4K的，还不如上次买的乐视S50的清晰，音质更加谈不上好了，只是能发声音而已。能装第三方软件，但清晰度不尽人意，将就着用吧！满意度5分而已！LOGO旁还有一道很深的划痕。,负面
526,电视很清晰，飞利浦大品牌值得信赖。家里面飞利浦用了10年也没坏。相信品牌的力量，综合好评。,负面
3859,送货师傅很负责，帮忙拆箱后才离开。电视很清楚，功能齐全。WiFi也很快。唯一不足的是三合一视频线质量不好。,负面
1358,做工很好，很满意，好评，下次继续光顾,正面
3573,50寸也没有很大 颜色偏黄 音效很差 之前买的55寸特别好 感觉微鲸开始不走心了,负面
4182,lj啊，刚过一个月就出了问题，卡机，进不去系统了，不能退了，给换了一个，悔不当初啊,正面
1978,两个角落漏光严重，希望质量好点吧…………,负面
2261,金色的机身很大气 很薄 唯一有问题的是电视机的两个支脚感觉不牢固 插优盘的时候电视机有晃动 还是安装墙上支架比较好 4K画面清晰流畅 就是觉得语音搜索功能比较傻 还有就是会员的影片资源有待丰富 实在有点少 不过没有广告还是不错的 值得表扬 不知道能不能保持,负面
2941,安装费要169，最坑的是打雷就没图像了，然后又好了，我去,正面
2364,999买的，还带一年会员，性价比真的无敌！系统不是很稳定，收到电视第二天就死机了，必须拔电重启，有的时候还会莫名其妙的卡在那里好长时间。厚！真厚！特别厚！,正面
4230,"电视太厚了,比我另一个5年前的还厚,做工一般",正面
868,给亲戚买的，不错的购物体验,正面
296,电视机不错，双十一的价格也不错，但安装师傅的收费与网页上的价格不同，送货、安装是同一个人，不清楚是谁的问题，最后电视机是自己安装的。,负面
3343,朋友家用的就是微鲸，很不错！虽然物流很让人失望，但电视不得不说还是很不错的，55的比照片照的大，也许网速好，没有缓冲的情况出现，很流畅，虽然资源不多，但很可以了，这个价钱挺好的，使用一段时间，再来评价！感谢客服长须鲸！好评！,负面
2767,别信参数，根本不相符。描述是IPS硬屏，结果打开电视设置显示为A+屏。反映客服也没回复。物流更差。不到100公里的配送距离，三天送到。物流车没标志，送货员不着工装，显示物流公司管理太差。,正面
1030,用了两天再来评论的，太帅了，第一次在网上买大件物品，一开始只是想买个电视，就先从网上看看，然后去实体店做下对比，店里比网上的贵好多，一直不敢买，担心网上的不行，这个品牌我以前也没怎么听过，我从双十一就开始各种看电视品牌，了解电视质量等问题，直到双十二，我看到了风行，价格很实惠，看了评价也还可以，一天我那心就一直纠结，到底买不买，晚上过了12点就回复价格了，本来都打算买大品牌的，大品牌贵着两千多，心思买个又好又实惠的岂不是两全其美，最后我就下定决心买了风行，京东快递果然很快，两天就到了还赶在我爸的生日前一天，给了老爸一个惊喜，老爸很喜欢，我也很喜欢，推荐大家都来买，真的很不错，款型功能都是我喜欢的，希望可以用的久一点,正面
1251,不错，很好的电视。,正面
2775,总的来说，微鲸的电视内容很棒，也许是国内最棒的。屏幕也还行，用的是国产硬屏幕，颜色好看，除了漏光，其他都好。但也正因为是硬屏，太脆弱了，莫名其妙就碎碎平安了。给微鲸打电话，说上门师傅鉴定并收取30元。好吧，自掏腰包3000块给你们做硬派广告，请收下。 如此评价晒单你们打算送什么礼物呢？挽救一下我的电视？,负面
2362,总结……差，开始问客服也用的不耐烦，电视很快收到，这是物流的速度，但是礼包官网一直找借口搪塞，不肯承认错误，或者老板没有专业培训客服吧，或者肯定是。现在怀疑电视也会出现问题，不知道哪些好评哪里来的，表示很怀疑？,负面
883,电视机挺好的，比实体店要便宜?,负面
1395,电视很好，比我想象的要大，第一次在网上购买，很满意,负面
1776,这个价位，能买这么大的电视，已经挺好的了！！！我们全家都挺满意的，就是不知道使用一段时间以后会怎么样！！！质量如何还得需要我们用时间来验证！！！如果有什么别的情况，我也会再和大家分享我的使用体验的！！！！ 晒单： 收起 向左转 向右转,负面
1040,第一次在网上购电视，之前还有些犹豫，买回来效果好不好，会不会有问题，有问题怎么呢，但买回来后，发现不错，很好,正面
399,"因为搬新家所以购买了创维58H7　58寸电视。58h7，cpu是a73，内存ddr4，电视机整体设计时尚，显示效果很惊，4K高清片源,清晰度非常好，色彩非常鲜艳，看起来好有立体感，身临其境感觉，特别是图片显示，也是4K高清图，色彩异常靓丽。酷开5.8的系统，系统响应速度很快，资源挺多的。视觉无边框，我比较喜欢，无边界方显大视野；2GDDR4+8GFLASH，配置好电视才能运行快；电视外表整体做工还行，拥有HDR技术，广色域技术，4KMEMC，色彩好，拥有HDR技术，广色域技术，4KMEMC，画质清晰音质也还好杜比解码+DTS解码，立体环绕音效，搭载酷开系统5.8。科技感太强了，图像超清晰，音效也超级棒，关键是后台内容也很丰富，非常满意。相信品牌的力量，物美价廉，这款电视做到了!",负面
3621,已经是买了第二个50寸了，之前也买了一个43寸的，质量很好，效果也不错，不过55寸的3000元以内的就很一般了。,负面
66,不错,正面
742,还可以，屏幕很清晰,正面
2529,目前使用情况良好，不过语音为啥不能粤语呢，没搞明白是不行还是我理解错了，有点小郁闷。不过画质和音质还是不错的。,负面
2845,真是会营商的商家，刚买回来就掉价，合着是忽悠消费者，之前买的觉的还行，所以才又买了一台，没想到效果不怎样，运转又慢还掉价(ToT)/~~~还高清呢……都看不清图像,正面
580,最近有事儿一直没顾上评价 电视非常不错 快递也很不错 推荐大家购买 双十一购入 价格也很优惠,负面
2528,老早就关注微鲸啦，一直没有下手，本来打算入手小米电视的，这次808活动力度很大，就选择微鲸啦。刚通上电，现在是语音遥控不好用，一直识别不了。别的用过几天看看，好啦在来追加评论,负面
2522,根本就没有语音遥控功能 详细的说明书也没有,负面
3896,购物体验非常不好，6月1日0点抢的货，开箱后感觉配件质感不行，电源线等，最让人寒心的是才观看2个小时，就出现两次长达2分钟以上的屏幕闪烁，闪烁频率很快，感觉背光和电路有问题。并拍下视频为证，只是手机不可以传上来，明天传视频。,负面
2104,做工确实不行，边框处理的不好，不过无伤大雅吧,负面
465,电视还行安装师傅很好,正面
849,快递速度快，服务真心不错，全部安装好了才走，电视机画质也不错，满意,正面
2047,机器还好吧，就是播放有嗒嗒的噪音，很麻烦，估计质量不是很好。,正面
972,不错，功能齐全，wiFi播放，无网能观看。,正面
1295,京东购物省心省力，服务好，配送快，必须推荐。,正面
3687,这个电视毫无智能语音体验，只有一些简单的操作，不该贪几百块的便宜，买小米就好了，开关机不灵敏，边框不是金属的，底座是我见到的最简陋的 ，屏幕背景暗淡，根本看不清，也不知道设计软件的怎么想的 ，大半夜起来12点整抢的，被告知没有挂架送，已送完，其他赠品也没兑现，建议大家考虑下别的品牌吧 优点是 便宜、配置高 买电视还是要买听话的电视,负面
261,电视价钱很实惠，快递的速度很快两天到货很赞，京东服务很好电视买回来有一段时间了挺清晰的，在实体店是买不到这么好的东西的支持支持风行。,正面
606,配送热情及时，还免费安装，不错的选择,正面
1607,现在没有任何问题，都挺好的，性价比高！,正面
3632,棒棒的电视，开始几次开机有点慢，后面应该会好起来，清晰度很好，系统也很好，比较流畅，有许多儿子喜欢的内容，语音点播好顶赞！没有广告好顶赞，先升级系统去了，有空追评！,负面
4178,网购这么久第一次给差评，机器前天送到的。挂架昨天送到的。前天晚上8点17分打售后电话预约安装。售后一直没有和我们联系！老公早上又自己打电话去主动联系，售后说他们系统没有登记，让我们等着他们再安排，我就和京东售前联系，售前也不管，只会像复读机一样让我自己找售后.。真是够了，实在忍不了给了差评。要买的亲慎重，东西我确实还没有用不知道效果，但是服务确实不敢恭维，受得气的再考虑购买哈！本来一星也不想给，但是选择不了零星！气的我胃疼,正面
1328,真的很不错！收到货自己十分钟就安装好了！这么多年都在看老款的古董电视！还是第一次卖液晶电视呢！联网还可以看电影大片！真值！,负面
1958,电视还可以就是有点漏光，千多元就不挑了懒得换。,负面
3362,对微鲸有些失望，画质没有想象的好，会员也看不了啥,负面
1065,风行电视一点即播不卡顿果然名不虚传，够快够清晰，厉害了，你值得拥有，非常棒！,负面
3769,以前没听说过微鲸电视，没了解过这个品牌，感觉价格合适就下单了，果然没让我失望，音响挺棒的，屏幕高清，4K看起来很过瘾。 最不满意的是，电视机不是超薄的，还有一点讨厌的是屏幕出现过几次忽明忽暗，不知道怎么回事，如果再出现这种情况，我就报修了，总体给好评,负面
3252,坏两次了 换货又坏的 花屏问题 这是随机质量不好还是这电视就爱出现这问题。。。售后还行,负面
1201,好好好好,正面
3507,没有去年买的那43F台好，价钱还贵那么多。,负面
1401,非常满意的购物体验，赶在双十二买的，虽然不一定是近期最低价，但是电视很好，线上线下都有的型号，送货师傅很专业也很负责，赞一个！最后要说，索尼大法好,正面
61,物美价廉,负面
1763,大电视，非常棒！比实体便宜。挂在新家很气派。客服热情，有问必答，是一次愉快的网购。会推荐给朋友。祝店家生意兴隆！,正面
2554,放卧室太大了…你们都评论说小！退了换43寸小钢炮！音质真不如小钢炮的一半…总之新版的55寸音质缩水太多啦…画质国产屏有点漏光…！去晒小钢炮了！最后给物流5星好评！！！！！,正面
1389,非常好，就是双十一送货有点久。,负面
1208,这款电视非常不错，家里很是喜欢，每个房间都装一个,正面
3622,1.机子看了5天了，挺好的，符合描述的硬屏，大屏，较薄，14kg。 2.画面清晰，赠送一年的会员，可以看腾讯VIP，但是只有超清影片才能体现4k的画质。 3.可以通过小鹰直播看电视直播，系统自带，但是某些电视台的画质非常不好。 4.遥控器简洁好用，如图。但是赠送手环是营销手段，咨询客服说只有300名。早说.... 总体超值超值超值,负面
1167,78寸放在家里就是气派，三星屏幕又大又清晰，观看体验很好，真的很喜欢，达到期望值。客服服务也很周到热情，有什么问题都耐心解答。物流也快，包装也好，线下服务人员态度也很友好，很满意的一次购物。期望音响也不会让人失望。,正面
3341,电视很不错，喜欢，可惜的一点就是不能看地方直播，能装更多应用就更完美了,正面
695,电视质量还行，价格不贵，但不很做电脑显示器,负面
2106,电视非常好，非常棒 55寸4k电视只是有点小贵。,负面
2717,差评骗人明明说有语音蓝牙遥控器，到家后发现不是蓝牙遥控器,负面
3303,微鲸电视很好，就是价格越来越贵了，希望耐用吧,负面
2823,电视大小可以～发货也挺快～不过今天一看降价了，特别不爽，说是七天内补差价，过了七天不给补～心情不愉快～差评差评～今天看了一下一起买的别的几家七夕做活动都降价了，都给补了差价～好吧，人家规矩严格些，也只能怪我自己买早了呗～大家买的时候看看日子哈～特别是买完了七天内天天关注看有没有降价，因为说不定第五天就降价了，只是你不知道而已就这么错过了～因为人家不会主动告诉你的，哈哈?,正面
804,电视很好，看着很上档次，清晰度高，音质好。送货和安装人员也很好。第一天预约第二天早上就去安装了。感觉挺划算。总体很满意。 晒单： 收起 向左转 向右转,负面
2856,电视机用了好几天了，刚开始出现过一次看电影卡死，之后没死过机，功能还是比较全面，自带的喇叭音质不行，不过可外接，也可以连蓝牙音箱，音质大大提升，画质质量很好，送的会员可以看，可以看的都没有广告，有些片子还是需要开会员，自带的盒子反应不慢，也可以外接电视盒子，家里用的移动20m宽带，1849入手，感觉有点贵！希望能用得久一些。,负面
984,送货速度很快。联系上门安装也很方便。出租房利器，以后搬新房了，也打算搬过去。液晶实在没必要追求名牌，大概是差不多的面板线，区别不大。功能也很齐全，没有坏点亮点，很满意。开始眼睛还有点不适应，现在越看越喜欢了，性价比很高 晒单： 收起 向左转 向右转 2017-12-28 15:36:22 追加： 4K的乘风破浪，终于有空看了，好清晰 收起 向左转 向右转,负面
2764,正好要买个电视，正好看到了微鲸这款55寸，比小米价格贵，但是冲着无广告，纠结了一会儿颜色，最终买了黑色，808晚上下单，9号收到，拆箱检测，一切OK，开机20秒以内，无广告，插头做的很有心。机器不算厚，屏幕还行，些许漏光，可以接受。总体可以。,负面
3836,"先订了小米4已下单但没货就退了，刚好微鲸55D2UK搞促销，只要两⑨⑨⑧，就下单了。第三天大件物流送货上门，拆包装接电测试没问题，第四天送的挂架才由京东送来，第5天预约了安装时间，第7填师傅上门安装，有挂架只收安装费壹佰。打眼，挂架，接电，联网，连蓝牙遥控器，测试，OK，完美。我的买点：1、IPS硬屏，6ms,4k高清，可外接电脑（有图）；2、接口齐全，HDMI*2，USB3.0*2，USB无线键盘鼠标测试没问题；3、支持安装自选APP（无线网络安装方式+U盘安装方式）；4、蓝牙语音遥控，有点AI的感觉。5、开机无广告，如果品牌LOGO不算的话。 不足之处：1、内容还是差了点，还好我自己安装的腾讯视频，买了VIP；2、外接电脑声音有失真，例如央视影音；3、无电视直播功能，官方APP里的电视猫分辨率太低，惨不忍睹，自己安装央视影音不能用！？？？4、启动还是有点慢，30秒以上。 用过一周再来追评。好久每认真晒单了。不完全为了晒单得赠品。",负面
3332,买了两个月 家里电视看的时间长一点就开始卡 打算来联系商家 问问怎么处理 打开页面看见电视又做活动了 前后买了两台 价格都在4000左右 今天打开看见活动价3598元 问客服 客服说30天保价 买贵了联系她们退差价 也是醉了 我电视买完了 难道还会天天盯着你们看看你们活动价是多少吗？我两台电视 总共买贵了800块 电视效果也不好 真是坑到家 最后问卖家电视卡怎么弄 居然叫我自己打电话给售后联系 真的是买完东西就不管了 反正这两台电视买的我特别不满意 以后不会再来了 也不会介绍朋友来买 大家看一下截图吧,负面
1200,物流快，这款机子大气超薄就是美中不足有点瑕疵屏不直不完美，叫老板换了一台就好了，要是图象再能亮净点就更好了。,负面
3354,电视装好了，电视还可以吧，我主要是喜欢看TVB，跟喜欢音质才考虑的这电视，质量还不错，关键是开机太慢，好慢啊，偶尔还死机，应用打不开，就会自己重启，这是我稍微有点不满意的地方。。,负面
1778,挺好的。,正面
2808,东西质量一般，还行,负面
1502,都说暴风电视不错，特地用了一段时间才过来评价！电视的清晰度非常的高,正面
2474,刚买了就降价 还送挂架，叫卖家补差价开始一直打太极不肯补。说了老半天只补差价不送挂架，一直推卸责任，很失望 看个电视剧还一直闪退不能缓冲 更失望,正面
1623,1212凌晨抢的，今天早上就到了，超级无敌快，一直都是用夏普，现在便宜了好多，太实惠了,负面
1124,送货速度挺快的 安装人员也挺好 直接全部安装调试好了。质量不错。会推荐别的朋友也关注这款电视机,正面
2512,一般吧 ，开机慢的要死，还不能看直播 下了看直播软件看起来也卡，不要说我网不说一百兆光纤,正面
884,帮朋友拍的、他说不错,正面
3045,派送服务不行,正面
537,不错,正面
3864,之前一直对智能电视半信半疑，网上评论褒贬不一，有说好的有说质量差的，这几天体验了一番，作为一个工作在互联网行业的摸爬滚打数年的特殊用户，我试过多款硬件不错的带互联网功能的电视，想说微鲸的界面体验是我试过国内最棒的没有之一，特别是输入法，打字速度较其它家是较舒适效率的，为设计师点赞。其次说真心话这个价格能买到这样性能的电视机算是性价比超值了，颜色和精度方面对大众用户来说也够了，除非是专业玩家，另外经常需使用usb等背后输入接口的用户劝大家不要装挂壁式，usb从背后即使是女生也很难伸进去，如果微鲸能为这个使用需求改善下接口的位置到边缘或者其它解决方案那就太好了，总体来说这次买的超值，谢谢微鲸，愿越来越好。,负面
3396,电视很满意，清晰度非常好，操作也简单，就是开机有点慢，还有就是不负责安装。,负面
3328,买的时候说有送电视支架送货的时候没有送，下完单就跌200块也跌的太快了，我自己有备用的支架和师傅带来的支架一模一样师傅不给我装还收我160的支架费用，太黑了了,正面
2537,还可以，就是屏幕有点反光，声音有点小。,负面
2810,巨坑！上个月买的2800 现在跌到2700 还有满1000减50元 坑！电视机质量也不好，画面不清晰。本来想退货告知已经超7天 真是后悔死了！,负面
1580,给好评吧，电视就无线上不到网。。。要插线才能上,正面
4262,听同事的推荐买了微鲸电视，他半年前买的另一款42吋的，但现在涨价1000，我就买了便宜的这一款，比他的42吋的还要贵。 便宜，画面不错，送会员，不过感觉资源不够新。。京东的快递真是让人惊叹，次日达不错。 不用额外的机顶盒就能看网络电视。 需要吐槽的是1.支架好单薄啊，就细细的两根塑料，对照海信的支架，我比较担心。2.插座竟然是两相的，线非常细，好的，你开心就好。3.开机时间太长了，我洗个大苹果，吃完了，开机画面还在让我耐心等待。 才买了两天，我过段时间再来。,负面
1726,宝贝收到了，给家里老人买的，双11下的单昨天才收到20天有点慢，老人都说好呢，服务超满意直接送到乡村，不知道质量好不好了，待评价,负面
1274,收到了非常不错，很满意。,正面
2621,这个总开关在电视机的右下角，不能用遥控器关，这点不是很好。语音点播功能试了下还不错，挺精准。看户外节目是感觉画质不是很清晰，颜色有点艳，其他暂时还没发现什么，价格很便宜，希望质量能有保证,负面
4257,刚买两天就降价，还说保价，结果还是不给退，无语，,正面
3130,5月24日收到货，自己安装了底座，晚上收看电视，外观和色彩都很满意，就是观看有线电视图像质量差一点，用网络收看图像还是不错的，还能把手机里的照片，视屏投影到电视屏幕上。还有许多功能正在摸索中，总体感觉物有所值,正面
3793,一年前买过55的，使用过程中没有出现任何质量问题，只是遥控偶尔不灵，不过售后及时更换了。相信微鲸！,负面
4161,很好，很清楚，很满意，就是装挂架收费有点贵,负面
2877,电视很不错，很清晰，就是有些资源还要用svip。这一点让我很不爽。然后开始的头两天屏幕有闪烁。跟客户沟通之后，客服让我恢复出厂设置，然后又升级最新系统。目前为止还没有出现，他让我再看看。头一次买微鲸电视。,负面
3478,一年前买过55的，使用过程中没有出现任何质量问题，只是遥控偶尔不灵，不过售后及时更换了。相信微鲸！,负面
2729,什么东西、勉强能用、没有语言功能、也说有、还得自配遥控！开机半天,负面
3003,客服态度差，产品描述不清楚,正面
4075,画面很满意，就是**员区有的电影看不起，还有的只有5分钟，郁闷。,负面
3548,一星都不想给，商家售后服务太差。送支架活动简直是给客户添堵的，收到电视没有赠送的支架，无法安装。联系客服说收货后7日发，第3天跟进，说没有登记需要登记确认后7日后再发。本来很简单的事情，商家可以申请售后安装免除支架费给客户提供方便，现在弄得电视放家里10天都没法安装。看网上都是因为支架给差评的。一个产品没有好的服务，必然不会长久，也许不久商业教科书会有一个支架毁了一个品牌的经典案例。,负面
516,房子刚装修好，迫不及待就要我公司电工帮我安装好了，画面很清晰，信赖康佳老牌子同时也支持国货?? 晒单： 收起 向左转 向右转,正面
3974,"显示效果还行，操作系统略卡。语音助手等于xujia宣传，因为需要你额外购买一个，在宣传页仔细看才能看到藏在里面很小的一行字""语音遥控器需要购买"" 不知道为啥今年电视机涨价这么多，去年买的微鲸4k 43寸才1298 今年一个1080p的都要1800",负面
2605,电器的价格变化太大，不过32太厚了，送父母吧，自己换投影仪去的,正面
2394,一般，反应不是很快,正面
3001,换的新机，不到一年屏幕就换了，不知道这次换的新机能用多久，从报修到换机用了半个月，反应速度极慢，而且微鲸官方的客户态度很差。,负面
3079,爸妈说很好?礼包还没到，暂时没挂壁,负面
1494,东西不错！很喜欢！,正面
1370,第一次网购电视，东西不错物流也很快。看网络电视画面很清晰，物廉价美。下次还会选择TCL,正面
1334,双十一优惠价，赞。电视大小刚合适，画面清晰度高。美中不足，底端比较厚。,正面
3201,东西收到了 快递小哥不认识路 辛苦了 电视机开机是挺慢的 其他暂时没发现什么问题,负面
3017,建议大家不要在网上买这种大电器，买的话要买大品牌的，因为大品牌售后好，这个品牌的电视，售后服务不是一般的差，退货什么都要自己来付运费，和客服说根本不管用，她对性能不是很了解，都是让你打电话，自己去找那个啊！他们的工程师，可能不是他们的工程师就是当地的维修员来处理。这才两天，电视开机，每次都需要系统恢复，恢复完之后就要系统升级，三四分钟，声音经常容易忽然没声，再一个就是如果用机顶盒看电视经常忽然之间自己跳回主界面。第一次从网上买大件儿，如果这俩天还得不到好的解决的话，那我肯定要退货的。,负面
2591,开关机没有广告，是选择微鲸的原因。电视的外观和画质还不错，喇叭效果和遥控语音效果不太理想，但对于不到3000的价位，还算不错?,负面
3723,买给爸妈的，家里还没有网，只接了有线电视。老爸说还没有以前的电视清楚，怀疑是不是有线电视接受信号不好，回去研究研究再说。物流很快，上门安装也很及时。把信任送给新生代,负面
2552,电视总体上说挺不错的。挑了很久，因为技术更新换代快，所以想着没必要买太贵的，微鲸这款电视性价比就挺高，显示清晰，流畅，暂时没有发现卡顿，关键是一年只换不修对产品给了点信心。不过毕竟价格摆在那里，所以也有些不足，在纯色高亮背景下可以看出极轻微的光斑，不过正常观看完全不影响也很难察觉。动态表现勉强合格，对高清体育赛事有很高要求的可能就要考虑多花点钱了。电视扬声器在我看来是最大的缺点了，声音太单薄了，就像普通笔记本电脑的扬声器一样，不过可以通过外接音响解决这个问题，就是有点麻烦。,负面
1536,给家里买的，很满意,负面
341,一天就到了，约了师傅来调试也调试好了，总体来说还不错，性价比挺好的,正面
1828,产品不错，性价比高，遇上双12就是物流比较时间常,负面
3126,有点气闷、买好后就降价、联系客服说让我拍下订单才能退款、那我只能再次预约、预约成功后拍下时却显示此地区不派送不能下单、什么意思？难道说我说的太早了、所以限制我拍下不想承诺退款吗？第一次碰到这样的事情、家电一直都是京东买的也相信你们的服务和承诺、结果这次太失望了,负面
1176,非常不错！！！！！！！！！,正面
412,价格实惠，电视很好，快递服务周到。,负面
1345,物流及服务都特别棒，更棒的是售后服务，给你们点赞,正面
886,东西不错，发货也快，价格也合适,正面
953,电视很好，价格也便宜,负面
3517,买电视还是要买大品牌，这个售后简直差的不是一般，购买当天首页显示送挂架，咨询客服一到三天就能到，三天后问又突然告诉我要登记还要等三到七天，然后各种订单号发过去，到现在给京东微鲸电话客服，都是互相推诿，每次电话都是从头到尾叙述一遍，告诉你找厂商、你找京东，一会说没货了，一会儿说先找人安装，一会儿又说厂商安装的不是原装，赶紧给你寄出，一会儿又说没货了，一个挂架有那么多事吗？特别是微鲸客服拽的二五八万的样子，网购这么久还第一次遇上，小品牌售后跟不上，承诺不能及时兑现就不要黑字白字写上，一看评论大部分差评都是因为挂架和售后，哎，广告做得好不如实实在在做事…,负面
3558,这一星是给电视本身的，微鲸的客服我只能给0星，趁着618买的电视，说的凭交易截图，订单号等信息登记，可赠送挂架，我在618当晚就跟客服登记，客服回复好的，结果等到6月25号再问的时候告诉我没有登记，因为我没有晒单，请问当时的活动哪里有写要晒单，跟客服登记的时候客服也没有告诉我要晒单，现在过了一个星期了告诉我没登记，玩我呢？另一个安装费的问题，618的活动是挂架安装费100，我25号问的时候傻缺客服告诉我169，我反问不是100么，她又说是的，你们的业务能力为0吧？又告诉我可以打电话给400预约安装，师傅会带挂架来安装，我打了400告诉我师傅带挂架的话是169，我需要先等赠送的挂架来了才能安装，这样才是100，那么傻缺客服干嘛让我现在打电话预约安装呢？一会儿换一个客服跟我讲，说来说去还是没晒单的问题，现在登记的话还是要再等7天，那我之前等的7天白等了？你们工作的失误让我来买单？No way!后来干脆告诉我收到货后才能登记，bull**！一群不知变通的NC。跟这群NC已经无法沟通，我只能给差评了。如果客服在下面解释，我也有截图为证，不怕理论。,负面
2923,清晰度蛮好的 广告很烦人 送的会员用处不大 很多剧也是看不了的,正面
